Event,Details
Game_Start_Time,1750778381188
Target_Hit,ID 1 at 1750778408728
Target_Hit,ID 3 at 1750778438362
Target_Hit,ID 4 at 1750778521582
Reload,1750778411517
Reload,1750778411563
Reload,1750778411621
Reload,1750778458257
Reload,1750778458317
Reload,1750778503005
Reload,1750778503058
Reload,1750778503123
Reload,1750778511164
Shot_Fired,1750778408727
Shot_Fired,1750778438361
Shot_Fired,1750778501854
Shot_Fired,1750778509811
Shot_Fired,1750778521581
Game_End_Time,1750778521000
Score,3
Total_Shots_Fired,5
